UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	9
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	3
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
2	0
2	0
2	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
7	0
1	0
2	0
2	0
5	5
4	2
3	6
0	3
0	0
0	0
0	0
0	4
0	0
0	0
5	0
29	0
0	26
0	52
2	24
0	52
5	21
5	29
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
71	8702
0	2256
0	2
0	10758
1	4893
0	4866
0	4082
13	1409
0	2579
41	0
682	11395
3	10572
0	1857
268	1379
56	1306
5	100
4	2269
0	2256
16	11395
6	7719
22	7704
0	2
0	2
0	1451
4	2596
0	2579
10646	0
0	41
5	0
588	590
202	666
2	100
11	152
66	675
108	244
41	429
79	327
49	80
110	463
94	439
5	32
26	46
29	140
0	920
67	1104
0	140
0	581
0	65
169	815
0	86
0	88
0	0
126	182
0	133
0	164
0	541
0	0
186	229
102	13
99	134
0	105
4	191
1	101
48	4
0	502
3	446
142	559
0	855
8	12
25	225
275	173
0	229
22	370
0	578
9	384
0	6
0	299
0	31
0	169
0	154
2	3843
0	14
148	500
0	13
0	315
0	238
0	385
0	110
115	1462
11	318
28	0
201	7
0	9
0	44
0	108
58	662
0	151
29	17
170	180
0	0
27	952
2	131
0	292
34	7
2	81
647	318
0	21
185	98
0	498
0	44
0	844
0	31
0	169
0	105
44	1011
0	7
0	14
0	578
0	191
177	205
0	350
0	0
3	0
37	67
0	14
