UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
0	0
5	0
0	0
0	1
0	0
3	4
0	4
0	0
0	1
0	0
0	0
0	3
0	0
7	0
0	3
0	0
3	9
0	1
0	3
3	4
0	0
2	0
1	2
5	0
8	0
0	1
0	0
33	0
2	0
0	0
1	1
2	0
11	0
0	0
0	0
0	6
0	0
2	1
2	0
0	0
0	13
1	1
4	0
0	0
0	0
0	1
1	1
0	0
0	0
4	0
0	2
0	0
5	0
2	0
0	0
1	0
2	0
1	0
2	3
0	4
0	0
2	13
0	0
0	0
1	6
7	1
0	0
1	0
0	0
3	0
8	0
5	0
1	0
5	1
19	0
3	0
7	0
5	0
4	0
38	1
3	0
4	0
17	0
0	0
6	0
7	0
6	0
5	0
3	0
10	0
3	0
7	0
5	0
0	0
2	0
12	0
6	0
2	0
1	0
2	0
2	0
3	0
1	0
1	0
7	0
0	3
0	0
0	1
0	2
0	1
0	0
0	0
0	0
0	3
1	1
0	4
0	0
0	1
0	0
0	0
1	0
23	0
3	0
8	0
1	0
5	0
3	0
5	0
0	0
0	0
0	2
0	4
0	9
0	0
0	1
89	0
318	3
0	84
9	188
10	82
0	187
90	15
14	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	111
0	2559
0	2
2	447
19	23899
11	24634
2	16453
42	703
0	3472
3	0
197	1440
0	407
0	719
480	373
389	377
1	1
2	1875
1	2559
8	1440
0	41
0	40
0	2
0	2
11	683
1	2771
0	3472
7069	25
0	0
1	0
215	1
76	6
0	0
4	1
66	1
148	7
29	21
72	63
73	2
424	33
150	25
0	11
43	8
5	1
0	853
35	51
30	53
0	149
0	2
148	523
0	2
0	2
0	0
20	3
0	5
0	2
0	0
0	0
112	11
0	0
62	2
1	317
12	0
0	17
503	0
1	29
0	193
118	29
0	229
0	0
4	6
56	11
0	0
17	1
3	1928
7	5
0	5
0	3
0	0
0	75
1	98
1	335
0	6
104	55
0	2
0	60
0	18
0	82
0	12
93	19
0	284
10	0
22	1
0	0
0	0
0	4
96	59
0	101
4	7
56	8
2	0
86	150
64	2
0	400
25	0
0	78
940	6
0	140
101	0
0	29
0	0
0	229
0	0
0	75
0	317
89	131
1	5
0	6
0	1928
8	21
140	2
0	206
0	0
1	0
8	0
0	0
0	0
0	0
1	0
