UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
15	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	1
0	0
2	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
3	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
2	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
13	0
0	0
0	0
1	0
3	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
7	0
32	0
0	6
5	32
0	6
0	32
29	1
2	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
489	7771
0	1151
0	2
16	10828
24	4263
4	4377
1	3112
16	155
0	1789
33	0
1208	11077
12	9917
0	1575
870	499
129	502
6	3
6	1043
0	1151
14	11077
7	6231
156	6225
0	2
0	2
7	179
3	1750
0	1790
13347	11
0	0
0	0
627	8
363	27
4	0
16	12
92	19
166	18
82	48
174	130
59	1
196	37
199	30
5	16
6	0
19	0
0	579
248	420
9	70
0	439
1	0
184	462
0	6
0	5
0	0
77	3
0	28
0	2
0	0
0	0
176	3
60	0
56	1
0	93
1	3
0	8
40	0
0	205
0	181
234	106
3	284
3	0
11	18
321	28
0	0
31	1
0	563
10	42
0	5
0	75
0	1
0	165
4	121
10	3906
0	8
138	115
0	0
0	233
0	80
0	175
0	25
92	18
74	133
16	0
125	0
0	0
0	1
0	8
183	132
0	92
28	0
209	14
0	0
142	384
0	5
0	151
29	0
0	25
560	2
0	27
209	9
0	205
0	1
0	284
0	1
0	165
0	93
266	369
0	5
0	8
0	563
7	22
265	25
0	154
0	0
2	0
3	0
4	0
0	0
3	0
