UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	2
0	0
0	1
0	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	5
0	0
0	0
0	1
0	0
0	0
0	1
1	0
0	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
3	0
3	0
0	0
0	0
5	0
5	0
2	0
4	0
0	0
0	0
3	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
2	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	0
0	1
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
1	0
3	0
0	0
3	2
4	2
3	2
0	1
1	1
0	0
0	1
0	1
0	5
0	0
0	1
36	0
62	0
0	31
0	53
0	30
0	53
22	15
7	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	222
0	6844
0	1
0	690
1	19692
0	19957
3	16976
122	5461
0	7300
28	0
23	358
0	674
0	277
150	664
70	648
1	24
2	6702
0	6845
3	358
0	159
0	159
0	1
0	1
1	5472
1	7042
0	7300
6815	0
0	13
5	0
550	297
39	300
0	135
12	116
26	341
87	418
24	473
94	295
52	167
2	178
294	729
0	2
26	129
56	132
0	552
5	217
0	175
0	316
0	44
55	429
1	352
0	374
0	0
44	61
0	34
0	66
0	30
0	2
18	136
10	2
65	85
1	153
0	25
0	27
100	19
2	90
2	250
0	538
0	484
2	0
0	20
17	97
0	115
5	117
4	447
28	517
0	5
0	43
0	40
0	197
0	69
0	314
0	13
47	78
0	16
0	226
0	170
0	30
0	8
55	210
23	565
21	0
48	2
0	0
0	32
0	11
1	109
0	40
9	37
16	17
0	3
251	911
30	69
0	585
326	61
0	44
1087	237
0	14
114	44
0	89
0	32
0	482
0	40
0	197
0	153
11	929
0	7
0	13
0	447
0	33
60	55
0	314
0	0
1	0
10	4
0	6
0	0
0	4
0	9
