UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
3	0
1	0
0	0
6	0
0	0
0	0
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	0
1	0
18	0
0	7
0	13
0	5
0	13
3	7
1	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	97
0	3448
0	0
0	282
1	8526
0	8657
4	7004
46	2958
0	3389
2	0
8	120
0	274
0	160
46	216
3	214
0	5
0	3384
0	3448
0	120
0	62
0	62
0	0
0	0
1	2961
0	3243
0	3389
2991	0
0	9
2	0
241	181
10	145
1	28
0	36
8	199
69	198
2	109
24	52
11	14
5	46
39	142
0	0
5	6
33	67
0	223
0	96
0	46
0	161
0	13
11	133
0	4
0	5
0	0
23	25
0	27
0	22
0	21
0	2
27	17
0	1
8	36
0	25
2	26
0	0
45	10
0	15
0	69
4	51
0	165
1	1
0	7
11	22
0	39
12	54
2	321
0	40
0	25
0	39
0	13
0	32
0	10
0	242
0	4
10	31
0	2
0	33
0	70
0	27
0	10
24	75
10	95
3	0
34	0
0	1
0	12
0	30
1	33
0	25
0	3
7	4
8	0
4	95
1	11
0	89
15	15
0	83
89	68
0	5
35	24
0	15
0	12
0	164
0	13
0	32
0	25
12	106
1	25
0	4
0	321
0	1
13	9
0	65
0	0
0	0
0	2
3	5
0	0
0	2
0	0
0	140
