sample,sum_t_cell_score
16,3.5263
17,2.4713999999999996
4,1.7887999999999997
15,1.6241
14,1.4691
18,1.2179999999999997
11,1.1055
5,1.0814000000000001
3,0.9941
2,0.9312999999999998
1,0.9093
19,0.8962
7,0.8784000000000001
6,0.8621000000000001
20,0.7422
8,0.6774999999999999
12,0.6461
9,0.6438999999999999
13,0.5443000000000001
10,0.3578
