UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
3	0
0	4
0	0
0	3
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
1	1
0	0
0	0
0	1
2	1
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	1
0	1
0	1
0	1
6	0
0	0
0	0
0	0
2	0
1	0
1	1
0	0
1	0
1	0
0	1
0	0
0	0
1	0
2	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	1
0	0
1	1
0	0
0	1
0	0
0	0
0	0
4	0
3	0
0	0
1	0
1	0
1	0
2	0
0	0
0	0
0	0
0	1
0	3
0	0
0	0
4	0
31	0
0	21
0	19
0	20
0	19
1	12
1	15
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	17
0	3088
0	0
0	77
0	7562
0	7787
2	6610
1	2233
0	2741
0	0
1	21
0	75
0	467
12	107
12	98
0	10
0	3022
0	3088
0	21
0	11
0	11
0	0
0	0
0	2224
0	2501
0	2741
2492	0
0	0
0	0
152	51
0	47
1	8
0	35
4	79
9	18
2	114
62	104
9	59
6	138
22	70
0	3
1	0
35	132
0	840
0	59
4	110
0	268
0	69
82	664
0	2
0	3
0	0
13	14
0	0
0	25
0	19
0	0
2	32
0	1
0	6
0	118
54	25
0	14
51	9
0	33
5	141
122	227
0	132
0	0
1	5
2	32
0	7
0	19
1	25
5	167
0	5
0	24
0	0
0	49
0	76
0	125
0	0
6	41
0	9
0	18
0	105
0	7
0	1
23	60
0	91
0	0
17	1
0	0
0	1
0	14
0	42
2	179
17	41
2	10
191	10
5	225
2	16
0	93
57	5
0	3
48	40
0	32
2	0
0	32
0	1
0	128
0	0
0	49
0	118
0	217
0	5
0	0
0	25
0	14
1	0
0	25
0	0
0	0
2	1
0	0
0	0
0	1
0	0
0	88
