UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
2	0
0	1
4	3
0	0
0	1
0	0
1	12
0	7
0	0
0	2
0	0
0	0
0	5
0	1
8	0
0	10
0	1
2	19
0	4
0	3
0	7
0	0
2	5
0	5
5	0
7	0
0	3
0	0
47	0
15	4
2	0
3	4
0	0
17	0
0	2
0	0
0	15
0	0
9	1
0	1
0	1
0	19
0	6
4	1
0	0
0	2
0	3
0	1
9	0
1	2
5	0
1	1
5	0
2	0
5	0
3	0
2	0
1	0
5	0
0	11
0	7
0	0
2	19
0	6
0	0
0	15
7	0
0	0
2	0
0	0
5	0
0	2
6	0
4	0
17	0
31	0
3	0
8	0
7	0
7	0
55	2
11	0
4	0
29	0
0	0
9	0
8	0
3	0
7	0
6	0
24	0
6	0
11	0
12	0
0	0
2	0
6	0
5	0
1	0
4	0
2	0
4	1
8	1
1	0
0	0
9	0
0	3
0	0
1	3
0	1
0	1
0	0
0	1
0	1
0	5
2	6
0	7
0	1
0	3
0	0
0	0
1	0
34	0
15	0
11	2
3	6
1	17
6	7
13	16
1	3
0	0
0	5
0	12
0	19
0	1
0	2
109	0
373	0
0	287
3	402
1	261
0	402
40	87
22	103
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	142
0	11552
0	2
0	450
5	29861
0	30394
1	24492
6	7480
0	10578
5	0
119	1808
0	439
0	1033
226	1342
130	1288
3	76
0	11321
0	11552
6	1808
0	98
0	98
0	0
0	2
1	7460
0	9981
0	10578
6178	0
0	15
2	0
333	216
77	410
2	54
6	53
41	374
105	203
16	269
76	245
61	143
186	768
91	498
0	90
27	90
25	271
0	1595
13	273
1	147
0	418
0	106
155	1001
0	28
0	34
0	0
51	114
0	38
0	122
0	51
0	3
163	143
0	6
76	51
0	468
13	20
0	61
518	41
0	107
1	302
38	277
0	412
0	0
6	94
62	51
0	128
24	146
55	2375
1	186
0	14
0	53
0	42
0	86
0	176
0	512
0	15
89	217
0	9
0	198
0	61
0	140
0	76
93	266
0	412
12	0
36	3
0	1
0	23
0	23
46	299
1	163
4	15
55	54
5	11
36	431
41	90
1	561
42	9
0	109
1103	242
2	224
142	35
0	105
0	23
0	397
0	42
0	86
0	464
22	472
2	16
0	15
0	2373
2	109
166	110
0	578
0	0
0	0
26	3
3	59
0	0
