UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	1
0	0
0	0
0	1
0	0
1	10
0	2
0	0
0	2
0	0
0	0
0	4
0	0
6	0
0	0
0	0
1	22
0	1
0	0
0	5
0	0
3	0
0	6
5	0
6	0
0	1
0	0
31	0
1	0
0	0
0	1
0	0
10	0
0	0
0	0
0	6
0	0
2	0
0	0
0	0
0	5
0	1
0	0
1	2
0	0
0	0
2	0
4	0
0	0
10	0
0	0
2	0
1	0
1	0
1	0
7	0
1	0
2	0
0	0
0	5
0	2
4	5
0	0
0	0
0	6
4	0
0	0
0	0
0	0
1	0
3	0
1	1
1	0
6	0
11	0
1	1
4	0
4	0
7	0
15	0
2	0
2	0
7	0
0	0
4	0
3	0
0	0
0	0
7	0
1	0
3	0
5	0
2	0
0	0
1	0
0	0
4	0
1	0
0	0
0	0
2	2
5	2
2	0
0	0
14	0
0	0
0	0
1	1
0	0
0	1
0	0
0	1
0	0
0	4
0	1
0	2
0	0
0	0
0	0
0	0
1	0
8	0
1	0
2	0
3	2
2	6
4	2
2	6
1	2
0	0
0	6
0	10
0	22
0	0
0	2
24	0
232	0
0	133
2	215
3	115
0	215
7	21
5	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	218
0	29946
0	0
0	599
4	72624
0	74193
8	61728
4	20241
0	25375
69	0
46	706
0	595
0	1627
582	3081
295	3041
6	132
5	29310
0	29947
24	706
1	167
0	162
0	0
0	0
8	20244
8	23617
0	25376
16713	0
0	89
42	0
2757	1280
60	837
10	101
56	292
298	1654
112	302
18	746
257	755
209	447
173	877
210	707
3	10
22	63
76	388
0	2941
20	695
0	783
0	1379
0	178
261	2008
0	132
0	141
1	0
181	312
0	263
0	655
0	211
0	15
333	721
594	20
327	238
1	1032
5	92
1	370
56	41
0	444
9	1388
255	1535
0	2318
0	11
35	408
306	366
0	334
33	408
5	1029
6	1294
0	2
0	270
0	115
1	792
0	61
5	2181
0	5
125	484
0	131
0	471
0	544
0	171
0	71
548	1225
10	335
6	2
678	41
0	7
0	45
0	99
14	847
3	390
56	205
344	250
0	41
176	2129
248	615
0	307
301	52
4	572
2790	682
2	186
319	294
0	433
0	45
0	2238
0	115
0	791
0	1029
95	2304
1	2
0	5
0	1028
2	501
360	212
0	1625
0	0
131	0
