UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	0
0	1
0	0
0	0
0	3
0	0
4	0
0	3
0	0
0	2
1	4
0	2
0	1
0	0
0	2
0	1
1	0
1	0
0	0
0	0
1	0
1	0
0	0
1	4
0	0
1	0
1	0
1	0
0	5
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
1	0
1	0
0	3
0	1
0	0
0	0
0	2
0	0
0	5
2	0
0	0
0	0
0	0
2	0
3	0
0	2
2	0
3	0
2	0
0	2
2	0
4	0
0	0
4	0
1	0
0	0
7	0
1	0
0	0
1	0
0	0
1	0
1	0
2	0
5	0
0	0
1	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
4	0
0	2
0	2
0	3
0	1
0	1
0	0
0	1
0	2
0	2
0	0
0	1
20	0
87	0
0	32
0	41
0	30
0	41
3	9
2	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	1132
0	0
0	14
0	3997
0	4033
0	3294
24	626
0	687
0	0
9	70
0	13
0	34
11	155
3	160
0	8
0	1106
0	1133
1	70
0	5
0	5
0	0
0	0
0	625
0	647
0	687
768	0
0	0
1	0
146	61
42	63
0	17
0	16
4	85
3	8
2	31
11	93
5	8
1	56
3	6
0	0
0	1
7	35
0	91
0	14
0	5
0	34
0	26
14	135
0	0
0	0
0	0
1	3
0	0
0	8
0	4
0	0
3	8
0	0
0	0
0	4
0	1
0	6
42	0
0	566
0	206
0	68
0	56
0	0
11	13
2	1
0	2
1	3
0	4
1	52
0	15
0	2
0	0
0	1
0	4
0	46
0	0
0	11
0	0
0	2
0	8
0	1
0	0
6	24
0	15
0	0
0	0
0	0
0	0
0	1
0	31
0	2
2	1
0	5
0	0
43	132
1	153
0	17
0	0
0	2
13	5
0	4
0	0
0	566
0	0
0	56
0	0
0	1
0	4
20	131
4	15
0	0
0	4
0	3
1	0
0	6
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	61
0	5
